OBJECTID,the_geom,TRACT,BLOCKGROUP,SQ_Miles,POP,POPDENS,WHITE,P_WHITE,BLACK,P_BLACK,AIAN,P_AIAN,ASIAN,P_ASIAN,NHPI,P_NHPI,OTHER_RACE,MULTI_RACE,HISPANIC,P_HISPANIC,MINORITY,P_MINORITY,MALE,P_MALE,FEMALE,P_FEMALE,AGEUNDER5,P_UNDER5,AGEUNDER18,P_UNDER18,AGE_18UP,P_AGE_18UP,AGE_65UP,P_AGE_65UP,HUS,OCCUPIED,P_OCC,VACANT,P_VACANT,OWNED,P_OWNED,RENTED,P_RENTED,ParCount,ResCount,ComCount,ResUnits,LivArea,BldgArea,HSCount,ResImp,ResLand,ComImp,ComLand,TotalVal,GoodExc,FairAvg,PoorVery,Unsound,CduNA,CentAC,WindowAC,Heated,NoAC,NoHeat,Shape_area,Shape_len
44,"MULTIPOLYGON (((-96.73143300011145 32.8250469994366, -96.73135799999838 32.825041999898026, -96.73126599960356 32.825092999869504, -96.73117300017856 32.82518299979986, -96.73114299960376 32.825178999782565, -96.73110299974154 32.82515799946413, -96.73002999967909 32.82404399946331, -96.72217699990338 32.82382700005775, -96.72384399983491 32.81494299969685, -96.72387199975385 32.814929000010835, -96.724153999932 32.81479599976286, -96.72544599969355 32.81415499937053, -96.7259070000206 32.81390999955092, -96.72621899999854 32.81377399968524, -96.72631000038061 32.81373000003789, -96.72636199977978 32.813669999436875, -96.72638800037632 32.81357699956134, -96.72638800010539 32.81345099949471, -96.7263230003453 32.81331500003856, -96.72627100027344 32.813188999911695, -96.72643999965747 32.81305699979513, -96.7268389997239 32.812801000079894, -96.72759000049707 32.812325999442415, -96.72809099990333 32.81199799964291, -96.72874300039571 32.811610999322546, -96.72876400006545 32.811598999495466, -96.72894999978618 32.81148099990765, -96.72945399970743 32.81109400011191, -96.7295730000319 32.81111299937669, -96.72970500058484 32.81116300010312, -96.72987300021789 32.811243999419546, -96.73003500052013 32.81134299972803, -96.73010200055202 32.811371999753675, -96.73025199955323 32.81146499977848, -96.73038900032743 32.811569999902574, -96.73111900003315 32.81215099995127, -96.7315399996026 32.81243999991714, -96.73183400017918 32.81265100018679, -96.73229600007565 32.81295000014527, -96.73238800009206 32.81300099979706, -96.73273899960056 32.813196999509245, -96.73304699980017 32.81338000020771, -96.73360699954654 32.81368700016678, -96.73407599988712 32.81389899974821, -96.73458999986703 32.81414799961361, -96.7348989996505 32.81428299961949, -96.73508200006029 32.81435999974234, -96.73530999992082 32.81444499958337, -96.73556199980838 32.814522999445344, -96.73605300002006 32.81469499946567, -96.73652200037748 32.814820999777474, -96.7375380002482 32.815079999730614, -96.73746500018711 32.81529400006113, -96.73733999961154 32.815785999316724, -96.73723999972925 32.816225999731635, -96.73719899957811 32.81642599979547, -96.73718300033326 32.81674400018764, -96.73718299960181 32.81714099981864, -96.73735299997588 32.818085000099444, -96.73759700045159 32.819284999981, -96.73790700054528 32.82058500010739, -96.73815600033257 32.821667999577436, -96.73598700029677 32.82200699995957, -96.7356850004316 32.82203799941569, -96.73535699966146 32.82210699956697, -96.73520699967324 32.822153000106816, -96.73499499962634 32.82225099967007, -96.7348369998362 32.82232499967122, -96.73476899979651 32.82237199987548, -96.73364100032421 32.82328499982881, -96.73329200040108 32.82359399976061, -96.73202599998442 32.824632999794055, -96.73206800020206 32.824749999846404, -96.73210900023724 32.82480699958486, -96.73263500018052 32.82538099994985, -96.73281299974803 32.825569999560614, -96.7329500005327 32.82574899946449, -96.73316899992955 32.82631200017008, -96.73323000003218 32.82654799976233, -96.73323500028076 32.82664399994759, -96.7331330000591 32.82676499937204, -96.73283500006599 32.82701899980276, -96.73275699972689 32.82706900016218, -96.7326610005192 32.82713700001293, -96.73243600022836 32.82722999977236, -96.7323740005661 32.82724699983586, -96.73220300020218 32.82726399975733, -96.73217800052785 32.82722500011428, -96.73203300035819 32.82666999956864, -96.73190700020288 32.82609000013102, -96.73178600019496 32.82605399962479, -96.73172499977989 32.82586799997857, -96.73153600013029 32.82524499947452, -96.73150500031403 32.82515900008505, -96.73149599973917 32.82513300005259, -96.73143300011145 32.8250469994366)))",48113000100,481130001001,0.6055,1368,2259,1015,74.2,57,4.17,1,0.07,36,2.63,1,0.07,2,27,229,16.74,353,25.8,662,48.39,706,51.61,88,0.47,264,19.3,1104,80.7,89,6.51,836,744,89,92,11,351,47.18,393,52.82,338,516,314,830,1201691,151321,322,82570330,91334400,27270810,15995650,217171190,586,232,11,0,516,826,4,830,0,0,16880097.5,18363.5791179
45,"MULTIPOLYGON (((-96.74269199961996 32.81610799956469, -96.74199699960513 32.81597899958425, -96.74003000040068 32.81559400015014, -96.7382990003876 32.81525499959233, -96.73799300038158 32.81518799994303, -96.7375380002482 32.815079999730614, -96.73652200037748 32.814820999777474, -96.73605300002006 32.81469499946567, -96.73556199980838 32.814522999445344, -96.73530999992082 32.81444499958337, -96.73508200006029 32.81435999974234, -96.7348989996505 32.81428299961949, -96.73458999986703 32.81414799961361, -96.73407599988712 32.81389899974821, -96.73360699954654 32.81368700016678, -96.73304699980017 32.81338000020771, -96.73273899960056 32.813196999509245, -96.73238800009206 32.81300099979706, -96.73229600007565 32.81295000014527, -96.73183400017918 32.81265100018679, -96.7315399996026 32.81243999991714, -96.73111900003315 32.81215099995127, -96.73038900032743 32.811569999902574, -96.73025199955323 32.81146499977848, -96.73010200055202 32.811371999753675, -96.73003500052013 32.81134299972803, -96.72987300021789 32.811243999419546, -96.72970500058484 32.81116300010312, -96.7295730000319 32.81111299937669, -96.72945399970743 32.81109400011191, -96.72972800060577 32.81089099947516, -96.72998600031558 32.81069000015595, -96.73014900021333 32.81054400004082, -96.73026399973686 32.810427999885995, -96.73054100034794 32.810160999785616, -96.7307270003556 32.80999799985681, -96.73112299970376 32.80959999953294, -96.73153699972133 32.809161000108496, -96.73166800013901 32.809032999493034, -96.73173299993522 32.80894999988751, -96.73183299973473 32.80883900010483, -96.7319190002741 32.80873899973338, -96.73203600043936 32.80855699996781, -96.73242000008585 32.80795000000857, -96.7332229998849 32.807265999738, -96.73338799989658 32.80710499940872, -96.73365100024098 32.80684899943634, -96.73441400021244 32.80760099958971, -96.73503400037609 32.80821999983333, -96.73531000015709 32.808421000198756, -96.73570000021823 32.808692000130264, -96.73592000056753 32.80882999989254, -96.73603200019554 32.80889600017022, -96.73651000046836 32.80917799986284, -96.73694499955295 32.809404999499996, -96.73707499998068 32.809464999910126, -96.73742000008971 32.80958899987792, -96.73754600050661 32.8096170000596, -96.73784699963157 32.80969899985811, -96.73821800040122 32.809761999843495, -96.73846100016434 32.809791999784295, -96.73873100041513 32.80981500009684, -96.73897199987587 32.80981800005725, -96.73929599968199 32.80981700000798, -96.73955300055002 32.80979600018418, -96.73997400016295 32.80973599992248, -96.7402249996743 32.80968299962933, -96.74103199994163 32.80948299965512, -96.74121700019677 32.80943599997736, -96.74139499958618 32.809392000107685, -96.74175300015219 32.80930800004051, -96.74238500058469 32.809142999440155, -96.74311599972367 32.80894000004583, -96.74368299965683 32.80877699980566, -96.74383299984613 32.80872599985888, -96.74418000034274 32.808582999679835, -96.74445499981684 32.80843400008056, -96.74458999998454 32.80835199989734, -96.74479599994348 32.80820000003974, -96.74501999991008 32.80801699987887, -96.74504899993265 32.80799599974981, -96.74519600052191 32.808131999629886, -96.74585199998656 32.808697999358166, -96.7458989999076 32.8087230000247, -96.74593599991904 32.80874599986509, -96.7460019998963 32.80875399993115, -96.74612100038013 32.80880800017448, -96.74617199980794 32.8088689993236, -96.74731200032294 32.809843999780995, -96.74818299990085 32.81061199944521, -96.74871300018927 32.81109499945118, -96.74935800035759 32.81163900000613, -96.74949800045445 32.811729000122604, -96.74980399980274 32.81179399989737, -96.75051499997649 32.81191800002023, -96.75064399997186 32.811950999582294, -96.75080700053752 32.8120259995621, -96.75109599970054 32.81225099956385, -96.75138299981552 32.81271699966029, -96.75156099977796 32.812713999884124, -96.75163100028065 32.81270800007674, -96.75169400051539 32.81271099967322, -96.75167099994192 32.812795999556805, -96.75165699976647 32.81290800002182, -96.75165199961224 32.81301699996696, -96.7516570006008 32.813128999612886, -96.7516850005634 32.81344199965059, -96.75170900056214 32.81360299971423, -96.75176600031703 32.813898999920156, -96.75179999960143 32.81398800004082, -96.75183800056143 32.814055999791165, -96.75189100015649 32.8141209994103, -96.75194299990339 32.81419300021245, -96.7520429996397 32.81429699970668, -96.75219199971895 32.81442999936198, -96.75247200050426 32.81461499945931, -96.75262500058062 32.814727999324454, -96.75271600051889 32.814818999408025, -96.75282500001603 32.81495600021214, -96.75288800050521 32.81505499941458, -96.75292800026702 32.815133999829186, -96.75299499969259 32.81544299959671, -96.7530079998408 32.81556100021369, -96.75300800023106 32.81567400012545, -96.75299500039701 32.81594899991869, -96.75298100004736 32.81607299983375, -96.75294000047815 32.81615899993661, -96.75145300023925 32.81619399964288, -96.7513020002593 32.81618699943101, -96.75091300030111 32.81619799992693, -96.75074699959983 32.816270999990174, -96.75040700047563 32.81640599971125, -96.75025400001012 32.81644299990322, -96.75008400002497 32.816474000113715, -96.7499249997283 32.816496000189545, -96.74974400025947 32.81651799990843, -96.74959200047043 32.81652700014029, -96.74942100060235 32.81652600002245, -96.74929200052388 32.816526999576006, -96.74892300041336 32.816508999391004, -96.7465739997503 32.81637799963465, -96.74441999974118 32.81625399984587, -96.74385399982451 32.8162179994259, -96.74340899958415 32.816186999852626, -96.74295699974832 32.81614399966209, -96.74269199961996 32.81610799956469)))",48113000100,481130001002,0.50918,1480,2907,1159,78.31,40,2.7,6,0.41,13,0.88,0,0,1,29,232,15.68,321,21.69,743,50.2,737,49.8,146,0.67,314,21.22,1166,78.78,93,6.28,780,734,94.1,46,5.9,454,61.85,280,38.15,570,541,184,725,1229599,170318,417,95499850,76224650,14719250,16955889,203399639,417,278,23,1,541,659,60,720,2,1,14196181.1987,17939.2382153
46,"MULTIPOLYGON (((-96.73815600033257 32.821667999577436, -96.73790700054528 32.82058500010739, -96.73759700045159 32.819284999981, -96.73735299997588 32.818085000099444, -96.73718299960181 32.81714099981864, -96.73718300033326 32.81674400018764, -96.73719899957811 32.81642599979547, -96.73723999972925 32.816225999731635, -96.73733999961154 32.815785999316724, -96.73746500018711 32.81529400006113, -96.7375380002482 32.815079999730614, -96.73799300038158 32.81518799994303, -96.7382990003876 32.81525499959233, -96.74003000040068 32.81559400015014, -96.74199699960513 32.81597899958425, -96.74269199961996 32.81610799956469, -96.74295699974832 32.81614399966209, -96.74340899958415 32.816186999852626, -96.74385399982451 32.8162179994259, -96.74441999974118 32.81625399984587, -96.7465739997503 32.81637799963465, -96.74892300041336 32.816508999391004, -96.74929200052388 32.816526999576006, -96.74942100060235 32.81652600002245, -96.74959200047043 32.81652700014029, -96.74974400025947 32.81651799990843, -96.7499249997283 32.816496000189545, -96.75008400002497 32.816474000113715, -96.75025400001012 32.81644299990322, -96.75040700047563 32.81640599971125, -96.75074699959983 32.816270999990174, -96.75091300030111 32.81619799992693, -96.7513020002593 32.81618699943101, -96.75145300023925 32.81619399964288, -96.75294000047815 32.81615899993661, -96.75291300003961 32.817189000029224, -96.75290800018405 32.81814499944924, -96.75287100029321 32.819074000011895, -96.75271599981839 32.81905699976347, -96.75194099973858 32.81907100020215, -96.75170199988547 32.819088999478424, -96.75150699992751 32.81914100006705, -96.75123199988732 32.8191869999323, -96.7495409996082 32.819630999381744, -96.74808099955371 32.81997799989574, -96.74646399981877 32.82031299987471, -96.74522699955844 32.8204979999994, -96.74380599992203 32.82063199986198, -96.74298100030278 32.82074899945454, -96.7428559997919 32.82077699967872, -96.74271099969425 32.82084700006685, -96.74237200001004 32.82093499960502, -96.74204400042956 32.82099300011987, -96.74162600026258 32.82105199970081, -96.74139199958 32.82103899985459, -96.74126599969742 32.82099899997292, -96.74114199979665 32.82094799935357, -96.74092999988228 32.820826999682886, -96.74069100007588 32.821033000191136, -96.74060199982475 32.82109699938745, -96.74048599959056 32.82115999972939, -96.7403009995732 32.82124099984665, -96.74000099982611 32.8213319996897, -96.7396310004821 32.82140700009719, -96.73861899986854 32.82157899997811, -96.73815600033257 32.821667999577436)))",48113000100,481130001003,0.26575,1161,4369,1069,92.08,0,0,4,0.34,12,1.03,0,0,1,3,72,6.2,92,7.92,571,49.18,590,50.82,83,0.61,346,29.8,815,70.2,101,8.7,441,421,95.46,20,4.54,402,95.49,19,4.51,445,440,0,440,1332296,0,396,162282270,115325670,36240,227760,277871940,263,155,21,0,440,431,9,440,0,0,7410039.53779,13004.4804521
47,"MULTIPOLYGON (((-96.76027700044177 32.83643599984348, -96.76147300043921 32.83643599991384, -96.76147299984898 32.83648900017634, -96.76146900001092 32.836542999821575, -96.76145499977933 32.8367039994192, -96.76141400022698 32.83704899934932, -96.76138100048267 32.83746199950742, -96.76135699959276 32.83771499988013, -96.76135100049211 32.83790900022401, -96.76135899981661 32.838320999346784, -96.76134899994267 32.83918299977244, -96.76135700028223 32.840087999627094, -96.76139599975961 32.84025199994499, -96.76137100016543 32.84103799945708, -96.76135999971031 32.84178699972714, -96.76130899960935 32.84179499979603, -96.76126400011155 32.84180499939498, -96.76007100013774 32.84206899981785, -96.75867400025257 32.84237699965819, -96.75294700026288 32.84366499998842, -96.752949000394 32.84348999979699, -96.75294400050588 32.84291400007653, -96.75294399956111 32.84246599983779, -96.75296100049152 32.84171799997385, -96.75296100001462 32.840065999586436, -96.75296900049271 32.839173999436774, -96.75297500010076 32.83828799964529, -96.75298499996816 32.83652299963925, -96.75298299980899 32.836420999811324, -96.75322400012288 32.836418999685236, -96.75448100026259 32.83642899945419, -96.75514900049782 32.836434999911596, -96.75826799992578 32.836439999371834, -96.75901399983826 32.83643899948939, -96.76027700044177 32.83643599984348)))",48113000201,481130002011,0.21175,848,4005,724,85.38,11,1.3,4,0.47,29,3.42,0,0,2,12,66,7.78,124,14.62,372,43.87,476,56.13,52,0.72,131,15.45,717,84.55,127,14.98,476,456,95.8,20,4.2,324,71.05,132,28.95,408,397,57,454,715639,53080,292,52036550,49676500,13857710,12000010,127570770,205,231,18,0,397,434,20,454,0,0,5904323.01306,9865.22799077
48,"MULTIPOLYGON (((-96.75284600019039 32.83019899980956, -96.75286100056506 32.8292610001584, -96.75588600016857 32.82928499937146, -96.755989000431 32.82926499972874, -96.75805699975734 32.82927299968305, -96.75963399989625 32.82930999954379, -96.75976500035716 32.82933499989035, -96.7598779997387 32.829388999841434, -96.75995499981008 32.82944999940909, -96.76002599970458 32.82953499934523, -96.76009200023937 32.829649999787215, -96.76048399969582 32.82987999931714, -96.7608629997491 32.82987800006702, -96.76156400046446 32.82989399937162, -96.76154499994873 32.83079899972845, -96.761532000032 32.83162300006997, -96.76152599981509 32.83205399965574, -96.7615130000241 32.83245899971071, -96.76150099969236 32.83329399943863, -96.7614840006019 32.83411699939182, -96.76147700039976 32.83490700017643, -96.76148200031885 32.835690000011105, -96.76147300043921 32.83643599991384, -96.76027700044177 32.83643599984348, -96.75901399983826 32.83643899948939, -96.75826799992578 32.836439999371834, -96.75514900049782 32.836434999911596, -96.75448100026259 32.83642899945419, -96.75322400012288 32.836418999685236, -96.75298299980899 32.836420999811324, -96.75296899984818 32.835648000089186, -96.75296400040732 32.83557199967978, -96.7529140002031 32.83550199933613, -96.75293400013109 32.83519899943618, -96.75293600028216 32.83463499946081, -96.7529329996792 32.833772999653206, -96.75292600010577 32.83292299977816, -96.75289800006595 32.831883999551266, -96.75285400013264 32.831079999922444, -96.75284600019039 32.83019899980956)))",48113000201,481130002012,0.24316,1082,4450,951,87.89,10,0.92,9,0.83,12,1.11,0,0,3,6,91,8.41,131,12.11,489,45.19,593,54.81,96,0.82,200,18.48,882,81.52,90,8.32,590,555,94.07,35,5.93,462,83.24,93,16.76,591,569,0,569,1033060,0,427,85380760,86988710,9506280,19111070,200986820,251,279,39,0,569,542,27,569,0,0,6781386.91629,10355.4301208
49,"MULTIPOLYGON (((-96.76048399969582 32.82987999931714, -96.76009200023937 32.829649999787215, -96.76002599970458 32.82953499934523, -96.75995499981008 32.82944999940909, -96.7598779997387 32.829388999841434, -96.75976500035716 32.82933499989035, -96.75963399989625 32.82930999954379, -96.75805699975734 32.82927299968305, -96.755989000431 32.82926499972874, -96.75588600016857 32.82928499937146, -96.75286100056506 32.8292610001584, -96.75286099975199 32.82883399998091, -96.7528760000314 32.82820400006526, -96.75288600007575 32.82775000016996, -96.75288499991036 32.826903999350144, -96.75288199968122 32.82661699946794, -96.75289499987522 32.82577999985261, -96.75289500035409 32.825585999993095, -96.75290700020238 32.824912999505266, -96.75291399973302 32.82441899982106, -96.75290999975502 32.82404999994807, -96.75290999964339 32.82359600015561, -96.75290199957733 32.82296300000851, -96.75338399989843 32.82295399939147, -96.75371799994376 32.822962999340945, -96.75398599980055 32.82301699955543, -96.7542940003947 32.82303700014682, -96.75594800040258 32.823078999865444, -96.75805800030672 32.82308199952512, -96.76011400036637 32.823092000018825, -96.76013400032693 32.82201799960882, -96.76083199964816 32.82201599992851, -96.76129599991128 32.82201799939888, -96.76154900038888 32.8220009998218, -96.76150800026221 32.82291599978632, -96.76150299965985 32.823100000168004, -96.76151599979174 32.82327999947126, -96.76154100038536 32.82382599981203, -96.76154500043981 32.8248380000638, -96.76155199970296 32.826005999972004, -96.7615580000645 32.82695699954193, -96.76155800003967 32.827934000000006, -96.76155800011345 32.82888499943766, -96.76156400046446 32.82989399937162, -96.7608629997491 32.82987800006702, -96.76048399969582 32.82987999931714)))",48113000201,481130002013,0.22525,945,4195,810,85.71,7,0.74,1,0.11,26,2.75,1,0.11,0,7,93,9.84,135,14.29,436,46.14,509,53.86,117,1.31,268,28.36,677,71.64,72,7.62,408,383,93.87,25,6.13,316,82.51,67,17.49,377,371,0,371,912642,0,277,79164870,79001900,3911040,15105600,177183410,190,146,28,1,371,342,28,370,0,0,6281102.21644,10965.2097003
50,"MULTIPOLYGON (((-96.7615580000645 32.82695699954193, -96.76155199970296 32.826005999972004, -96.76154500043981 32.8248380000638, -96.76154100038536 32.82382599981203, -96.76151599979174 32.82327999947126, -96.76150299965985 32.823100000168004, -96.76150800026221 32.82291599978632, -96.76287199968779 32.822920999887046, -96.7636669997578 32.822926999375476, -96.76577399966394 32.82293299935995, -96.76762600020197 32.82292699985683, -96.76796900025549 32.82293299953868, -96.76906099956892 32.82293300011585, -96.7701549998956 32.8229429997181, -96.77015400032242 32.82348400015091, -96.7701539999915 32.823852999686395, -96.77015599979481 32.82450299973086, -96.77015500043383 32.8248999993626, -96.77016599990608 32.82548099947707, -96.77016099954778 32.826053999734505, -96.77015599986763 32.82645399943623, -96.77014999987044 32.82698699948015, -96.76945200019345 32.82699599955538, -96.76794299964317 32.82700399981911, -96.76744900029678 32.82699299970562, -96.76692699963459 32.826986999331886, -96.76613800045583 32.82699299950583, -96.7657720003941 32.82698999982415, -96.76508700054268 32.82697599949564, -96.76363199978643 32.82696299996127, -96.76267799968164 32.82695699933549, -96.7615580000645 32.82695699954193)))",48113000202,481130002021,0.13985,828,5921,676,81.64,8,0.97,4,0.48,12,1.45,0,0,0,18,110,13.29,152,18.36,427,51.57,401,48.43,65,0.95,123,14.86,705,85.14,36,4.35,499,456,91.38,43,8.62,221,48.46,235,51.54,344,348,64,412,723286,42796,215,54336340,49339460,3291800,6156020,113123620,187,186,37,2,348,292,61,402,3,2,3900523.03645,8237.32522914
51,"MULTIPOLYGON (((-96.7679230002236 32.832210999894464, -96.77015700056886 32.83220799988901, -96.77015799967593 32.832663999833656, -96.7701579996247 32.833031999719545, -96.77014400054587 32.83360399959992, -96.77013400048772 32.833923000079984, -96.77012200009558 32.83462599989907, -96.77012199966995 32.83475899963133, -96.77009199986469 32.83559199979196, -96.7700860003387 32.83564099949473, -96.77008500041279 32.835717999722846, -96.7700950006016 32.83651199992121, -96.77009300020619 32.83655599989437, -96.77009499984985 32.83661899964771, -96.77008200028502 32.837825999987736, -96.77007799988799 32.83969899948012, -96.77008299969903 32.839784999582086, -96.76963900026557 32.83991599992843, -96.76763500033829 32.84036199998593, -96.76548499983666 32.84081500010032, -96.76445500043047 32.841048999791525, -96.76343500047867 32.841288000108435, -96.7624140005788 32.84151999992439, -96.76135999971031 32.84178699972714, -96.76137100016543 32.84103799945708, -96.76139599975961 32.84025199994499, -96.76135700028223 32.840087999627094, -96.76134899994267 32.83918299977244, -96.76135899981661 32.838320999346784, -96.76135100049211 32.83790900022401, -96.76135699959276 32.83771499988013, -96.76138100048267 32.83746199950742, -96.76141400022698 32.83704899934932, -96.76145499977933 32.8367039994192, -96.76146900001092 32.836542999821575, -96.76147299984898 32.83648900017634, -96.76147300043921 32.83643599991384, -96.76148200031885 32.835690000011105, -96.76147700039976 32.83490700017643, -96.7614840006019 32.83411699939182, -96.76150099969236 32.83329399943863, -96.7615130000241 32.83245899971071, -96.76188200025649 32.832452999913386, -96.7636009998243 32.832472999788266, -96.76420100051696 32.83247599986984, -96.76419999994259 32.83239999988933, -96.7643920004095 32.83239699975516, -96.76566200013299 32.83239200011214, -96.76671899980228 32.83239199985383, -96.76679700015406 32.83238300011742, -96.76684499994488 32.83236099958131, -96.76792299993429 32.83236099932138, -96.7679230002236 32.832210999894464)))",48113000202,481130002022,0.29235,1170,4002,1026,87.69,12,1.03,4,0.34,24,2.05,0,0,0,10,94,8.03,144,12.31,572,48.89,598,51.11,85,0.62,198,16.92,972,83.08,75,6.41,653,598,91.58,55,8.42,436,72.91,162,27.09,639,617,0,617,986734,0,419,71579350,84845020,7573870,27198840,191197080,291,295,29,1,617,561,54,617,1,0,8154693.00913,11670.2338226
52,"MULTIPOLYGON (((-96.76363199978643 32.82696299996127, -96.76508700054268 32.82697599949564, -96.7657720003941 32.82698999982415, -96.76613800045583 32.82699299950583, -96.76692699963459 32.826986999331886, -96.76744900029678 32.82699299970562, -96.76794299964317 32.82700399981911, -96.76945200019345 32.82699599955538, -96.77014999987044 32.82698699948015, -96.77016699955398 32.82736800006658, -96.7701770000351 32.82795100016795, -96.77017699990957 32.82821499931878, -96.77018900015332 32.828914999650834, -96.77018899972224 32.829059999658966, -96.77016700042559 32.82992500018694, -96.77016200053231 32.83084399935446, -96.7701619997053 32.83136199958618, -96.77016199998188 32.83169399981284, -96.77015700056886 32.83220799988901, -96.7679230002236 32.832210999894464, -96.76792299993429 32.83236099932138, -96.76684499994488 32.83236099958131, -96.76679700015406 32.83238300011742, -96.76671899980228 32.83239199985383, -96.76566200013299 32.83239200011214, -96.7643920004095 32.83239699975516, -96.76419999994259 32.83239999988933, -96.76420100051696 32.83247599986984, -96.7636009998243 32.832472999788266, -96.76188200025649 32.832452999913386, -96.7615130000241 32.83245899971071, -96.76152599981509 32.83205399965574, -96.761532000032 32.83162300006997, -96.76154499994873 32.83079899972845, -96.76156400046446 32.82989399937162, -96.76155800011345 32.82888499943766, -96.76155800003967 32.827934000000006, -96.7615580000645 32.82695699954193, -96.76267799968164 32.82695699933549, -96.76363199978643 32.82696299996127)))",48113000202,481130002023,0.18587,1411,7591,1138,80.65,27,1.91,11,0.78,43,3.05,0,0,0,21,171,12.12,273,19.35,712,50.46,699,49.54,119,0.6,235,16.65,1176,83.35,74,5.24,855,778,90.99,77,9.01,347,44.6,431,55.4,456,506,246,752,1120807,197629,310,76524020,64701030,4594040,10749170,156568260,447,278,27,0,506,663,67,751,0,0,5184686.73558,9280.67832484
53,"MULTIPOLYGON (((-96.77364499990453 32.836530999575096, -96.7735340000882 32.836522999847034, -96.77318800038752 32.83651899945492, -96.77139300056784 32.8365119995525, -96.7700950006016 32.83651199992121, -96.77008500041279 32.835717999722846, -96.7700860003387 32.83564099949473, -96.77009199986469 32.83559199979196, -96.77012199966995 32.83475899963133, -96.77012200009558 32.83462599989907, -96.77013400048772 32.833923000079984, -96.77014400054587 32.83360399959992, -96.7701579996247 32.833031999719545, -96.77015799967593 32.832663999833656, -96.77015700056886 32.83220799988901, -96.77016199998188 32.83169399981284, -96.7701619997053 32.83136199958618, -96.77016200053231 32.83084399935446, -96.77016700042559 32.82992500018694, -96.77018899972224 32.829059999658966, -96.77018900015332 32.828914999650834, -96.77017699990957 32.82821499931878, -96.7701770000351 32.82795100016795, -96.77016699955398 32.82736800006658, -96.77014999987044 32.82698699948015, -96.77015599986763 32.82645399943623, -96.77016099954778 32.826053999734505, -96.77016599990608 32.82548099947707, -96.77015500043383 32.8248999993626, -96.77015599979481 32.82450299973086, -96.7701539999915 32.823852999686395, -96.77015400032242 32.82348400015091, -96.77089000003686 32.82348400013015, -96.77226900010136 32.823493000113345, -96.77307700024899 32.82348699976813, -96.77472100056724 32.82349000007443, -96.77472700018205 32.824510999790974, -96.77472100032726 32.82548999961127, -96.77471500044322 32.82645899962874, -96.77470599963712 32.827356999381585, -96.77469600058642 32.82820399993264, -96.77469599992884 32.82905299975261, -96.77468800048051 32.82991399972144, -96.77467500041168 32.83086899991057, -96.77468099964341 32.83172999993969, -96.7746789998628 32.83238499974087, -96.77455899965265 32.83268699966992, -96.77405399975784 32.83362999963478, -96.77386899983496 32.83401299982191, -96.77384300049157 32.83410599982878, -96.77383300056765 32.83431699956883, -96.77382600057058 32.834645999982484, -96.77382200054493 32.83557100015882, -96.7738230004529 32.83656399944947, -96.77364499990453 32.836530999575096)))",48113000300,481130003001,0.22602,1295,5730,1101,85.02,17,1.31,1,0.08,47,3.63,0,0,1,8,120,9.27,194,14.98,647,49.96,648,50.04,109,0.65,178,13.75,1117,86.25,88,6.8,750,675,90,75,10,444,65.78,231,34.22,668,627,12,639,1300936,9984,413,112664830,97050670,5513310,11968280,227197090,347,227,62,0,627,590,44,637,4,1,6303276.05764,12097.7094485
